,wifes_edu,husbands_edu,n_children,wifes_rel,wifes_working,husbands_occ,sol,media,Y
394,4,4,0,1,0,2,4,0,2
398,2,2,0,1,1,2,2,0,2
401,3,4,5,1,1,1,4,0,2
404,3,4,4,1,0,1,3,0,2
405,3,3,2,1,1,3,3,0,2
406,2,2,3,1,1,2,4,0,2
409,3,3,1,1,1,2,4,0,2
413,2,2,2,1,1,3,1,0,2
414,2,3,3,1,1,3,4,0,2
418,4,4,2,1,0,1,4,0,1
423,2,4,6,1,1,3,4,0,1
425,4,4,2,0,0,1,4,0,1
427,1,1,2,1,1,3,4,0,1
428,2,4,3,1,1,3,4,0,1
430,4,4,1,1,1,1,2,0,1
431,3,4,1,1,1,3,4,0,1
432,3,4,3,1,1,2,3,0,1
434,3,4,1,1,1,3,2,0,1
436,2,1,2,1,0,3,3,0,1
438,2,3,2,1,1,3,3,0,1
439,2,4,1,1,0,3,4,0,1
449,3,4,1,1,1,2,4,0,1
450,4,4,1,1,1,3,4,0,1
451,2,4,2,1,1,1,3,0,1
452,3,3,1,1,1,3,1,0,1
453,4,4,1,1,1,1,4,0,1
466,3,3,1,0,0,2,4,0,1
468,1,4,1,1,0,4,2,1,1
470,4,4,3,0,0,4,4,0,1
477,4,4,1,1,1,1,4,0,1
480,4,4,1,1,1,2,3,0,1
482,4,4,1,1,1,3,2,0,1
484,3,3,2,1,0,3,3,0,1
489,3,4,3,1,1,3,4,0,1
490,4,3,3,1,1,3,3,0,1
494,4,4,2,1,1,2,4,0,1
496,4,4,3,1,1,1,4,0,1
497,4,4,1,0,1,2,4,0,1
499,4,4,1,1,0,2,4,0,1
501,4,4,2,1,0,1,3,0,1
503,3,3,3,1,1,1,2,0,1
506,4,4,1,1,1,1,2,0,1
510,4,4,2,1,1,1,4,0,1
511,3,3,2,1,0,3,4,0,1
515,4,1,4,1,1,3,3,0,1
522,3,1,4,1,1,3,1,0,1
523,3,3,2,1,1,3,2,0,1
524,4,4,1,1,1,3,4,0,1
525,3,4,1,1,1,4,4,0,1
528,4,4,2,1,0,1,3,0,1
535,2,4,2,1,1,3,3,0,1
536,4,4,2,1,0,1,3,0,1
538,3,4,4,1,1,1,3,0,1
539,4,4,3,1,1,1,4,0,1
540,3,3,1,1,0,3,4,0,1
541,4,4,1,1,0,1,3,0,1
546,4,4,1,1,1,1,4,0,1
547,4,4,2,0,1,1,3,0,1
550,4,4,1,1,0,1,4,0,1
552,4,4,3,1,0,3,3,0,1
554,4,4,4,1,1,1,3,0,1
555,2,2,1,1,1,3,2,0,1
557,3,4,2,1,1,1,4,0,1
559,4,3,4,1,0,3,2,0,1
565,4,4,1,1,1,1,3,0,1
566,4,4,1,0,0,1,4,0,1
571,4,4,1,1,1,2,1,0,1
573,2,3,1,1,0,4,4,0,1
579,4,4,2,1,0,1,3,0,1
582,4,4,2,1,1,1,3,0,1
583,4,4,1,1,1,1,4,0,1
586,4,4,1,1,1,1,4,0,1
588,4,4,2,1,1,3,4,0,1
590,4,4,1,1,1,2,4,0,1
593,4,4,2,1,0,1,3,0,1
600,4,2,2,0,1,1,3,0,1
603,4,4,2,0,1,1,4,0,1
605,4,4,1,0,1,2,4,0,1
615,3,4,7,1,1,2,4,0,1
621,3,3,2,1,1,2,3,0,1
623,4,4,3,0,1,2,4,0,1
637,3,2,5,1,1,2,4,0,1
639,2,4,3,1,1,1,4,1,1
640,3,4,5,1,1,1,2,1,1
642,3,3,4,1,1,3,4,0,1
643,2,2,5,1,1,3,1,0,1
645,2,2,6,1,1,3,1,0,1
646,4,4,1,1,0,1,4,0,1
648,2,2,1,1,1,3,2,0,1
649,1,2,4,1,1,2,3,0,1
650,2,4,1,1,1,1,4,0,1
651,3,3,1,1,1,3,3,0,1
652,2,2,4,1,1,2,4,0,1
654,2,4,3,1,0,3,3,0,1
655,4,4,2,1,1,3,4,0,1
656,3,4,2,1,1,1,3,0,1
657,4,4,1,1,1,3,2,0,1
659,3,3,1,1,0,3,3,0,1
660,2,3,1,1,1,3,1,0,1
663,4,4,1,1,1,1,4,0,1
664,1,4,3,1,1,4,4,1,1
667,2,4,3,1,1,4,4,0,1
670,3,3,2,1,1,2,4,0,1
671,2,4,3,1,1,3,4,0,1
672,3,3,2,1,1,3,3,0,1
678,3,4,3,1,1,1,4,0,1
679,2,2,4,1,1,2,1,0,1
680,2,4,4,1,1,2,1,0,1
681,4,3,1,1,1,2,2,0,1
685,3,3,1,1,1,3,3,0,1
691,2,4,3,1,1,3,3,0,1
692,4,4,1,1,1,1,3,0,1
694,2,4,3,1,1,3,4,0,1
695,4,4,1,1,1,2,3,0,1
697,3,4,2,1,1,3,2,0,1
698,4,4,2,1,1,1,4,0,1
700,4,4,1,1,1,3,1,0,1
702,1,2,5,1,0,1,2,0,1
703,2,3,4,1,1,2,1,0,1
704,3,2,2,1,1,2,1,0,1
705,2,3,1,1,1,2,1,0,1
707,3,3,3,1,1,2,3,0,1
708,4,4,3,1,1,1,4,0,1
709,4,3,2,1,1,3,3,0,1
712,3,3,3,1,1,2,1,1,1
713,4,4,4,1,1,3,4,0,1
714,3,3,7,1,1,3,4,0,1
723,4,4,1,1,1,2,3,0,1
725,4,4,1,0,1,3,3,0,1
726,4,4,1,1,1,1,3,0,1
727,2,3,1,1,0,3,2,0,1
728,4,4,1,1,1,3,3,0,1
730,4,4,2,1,0,2,2,0,1
731,1,2,2,1,1,2,1,0,1
732,3,3,6,0,1,3,1,0,1
733,2,4,1,1,1,2,3,0,1
735,2,2,2,1,1,3,4,0,1
736,3,3,3,1,1,2,3,0,1
737,2,2,5,1,1,3,3,0,1
740,1,3,5,1,1,3,3,0,1
741,3,4,1,1,1,2,3,0,1
743,2,4,1,1,1,3,3,0,1
745,3,4,4,1,1,2,3,0,1
746,2,3,7,1,1,3,3,0,1
749,4,4,2,1,1,3,4,0,1
750,2,4,2,1,1,1,4,0,1
751,4,4,2,1,1,1,4,0,1
754,2,3,2,1,1,2,1,0,1
759,4,4,1,1,1,1,3,0,1
760,4,4,1,1,1,3,3,0,1
762,2,2,5,1,0,2,4,0,1
763,3,4,3,1,1,2,3,0,1
764,3,3,3,1,1,3,3,0,1
765,3,4,4,1,1,3,3,0,1
768,4,4,1,0,1,1,4,0,1
770,4,4,3,1,1,3,4,0,1
771,4,4,2,1,1,1,3,0,1
773,3,4,4,1,1,3,3,0,1
780,4,4,2,1,1,1,3,0,1
785,3,3,3,1,1,2,2,0,1
786,1,3,2,1,1,3,1,0,1
787,2,2,2,1,1,2,3,0,1
788,3,4,3,1,1,2,3,0,1
789,2,2,2,1,1,3,2,1,1
791,3,4,5,1,1,3,1,0,1
792,3,3,3,1,0,3,2,0,1
794,3,3,3,1,0,2,1,0,1
795,4,4,2,1,1,1,4,0,1
796,4,4,5,1,1,2,4,0,1
797,4,4,1,0,0,1,3,0,1
798,3,3,3,1,1,2,1,0,1
801,2,2,1,1,1,4,3,0,1
803,2,3,2,1,1,3,1,0,1
807,2,3,4,1,1,3,3,0,1
808,2,4,4,1,0,2,4,0,1
809,3,3,1,1,1,2,2,0,1
810,3,3,1,1,1,2,1,0,1
812,3,3,3,1,1,3,2,0,1
814,3,4,1,1,1,2,1,0,1
815,2,4,3,1,1,3,3,0,1
816,3,3,1,1,1,3,2,0,1
817,4,4,1,1,1,3,3,0,1
818,2,4,3,1,1,3,2,0,1
819,1,3,4,1,1,3,4,0,1
820,1,1,3,1,1,4,2,1,1
821,3,4,2,1,1,3,3,0,1
822,3,4,2,1,1,2,3,0,1
823,3,3,3,1,1,3,1,0,1
824,3,4,5,1,1,1,2,0,1
825,1,3,4,1,1,3,3,0,1
826,3,4,2,1,1,1,3,0,1
827,3,3,3,1,1,3,3,0,1
829,4,4,1,1,0,2,4,0,1
830,4,4,1,1,1,2,4,0,1
831,2,3,5,1,1,2,4,0,1
832,3,4,2,1,1,3,3,0,1
833,3,3,1,1,1,3,3,0,1
836,4,4,3,1,1,3,4,1,1
837,2,3,2,1,1,2,3,0,1
839,3,3,3,1,1,2,1,0,1
842,4,4,2,1,0,2,4,0,1
843,3,4,2,1,1,3,4,0,1
844,3,4,1,1,1,3,4,0,1
846,1,2,3,1,1,3,1,1,1
847,3,3,1,1,1,2,1,0,1
848,2,3,2,1,1,2,4,0,1
852,3,3,4,1,1,3,4,0,1
853,3,4,1,1,0,1,4,0,1
854,3,3,6,1,1,3,3,0,1
855,3,4,3,1,1,3,3,0,1
856,2,3,3,1,1,3,4,0,1
857,4,4,1,0,1,3,4,0,1
858,2,4,2,1,1,3,2,0,1
859,3,4,2,1,1,3,3,0,1
860,3,4,3,1,1,3,2,0,1
862,3,2,2,1,0,3,2,0,1
863,4,3,1,1,1,3,4,0,1
865,2,3,2,1,1,3,1,0,1
866,1,2,3,1,0,3,2,0,1
867,1,2,3,1,1,3,2,1,1
868,4,4,3,1,1,3,3,0,1
869,3,4,5,1,1,2,4,0,1
870,4,4,3,1,1,3,2,0,1
871,2,4,4,1,1,3,4,0,1
872,3,3,3,1,1,3,3,0,1
873,2,3,2,1,1,3,3,0,1
874,4,3,3,1,1,3,3,0,1
875,4,4,3,1,0,1,4,0,1
876,3,4,4,1,0,1,3,0,1
878,4,4,2,1,1,3,4,0,1
880,3,4,1,1,1,3,2,0,1
881,1,3,1,1,1,3,3,1,1
882,3,4,1,1,1,3,3,0,1
883,3,3,4,1,1,3,3,0,1
884,3,4,1,0,0,1,4,0,1
885,3,2,1,1,1,3,3,0,1
886,3,3,2,0,1,2,3,0,1
887,4,4,3,0,0,2,4,0,1
888,3,4,3,1,0,3,4,0,1
891,4,4,2,0,0,3,3,0,1
892,2,4,1,1,1,3,3,0,1
900,3,3,1,1,1,2,2,0,1
901,3,4,2,1,1,1,2,0,1
902,3,4,2,1,1,1,3,0,1
903,4,4,1,0,1,3,1,0,1
904,1,2,3,1,1,2,3,0,1
905,1,3,2,1,1,3,2,0,1
906,4,4,4,1,1,2,3,0,1
907,3,3,2,1,1,2,3,0,1
908,4,4,2,1,0,3,3,0,1
909,3,3,3,1,1,3,1,1,1
912,2,3,5,1,1,3,3,0,1
913,4,4,2,1,1,1,4,0,1
916,4,4,2,1,0,1,4,0,1
917,3,4,2,0,1,3,4,0,1
918,4,4,2,1,1,4,3,0,1
920,4,4,1,1,1,3,2,0,1
923,2,2,1,1,1,3,2,0,1
932,2,3,4,1,1,3,2,0,1
933,4,4,2,0,1,2,4,0,1
937,4,4,3,0,0,3,4,0,1
938,3,3,3,1,0,2,4,0,1
940,2,4,4,1,1,3,4,0,1
942,2,2,0,1,0,3,2,0,1
943,3,3,1,1,1,3,2,0,1
944,2,2,1,1,1,3,1,0,1
945,2,3,2,1,0,3,2,0,1
946,2,2,1,1,1,3,3,0,1
950,3,4,4,1,0,3,3,0,1
951,3,4,3,1,1,3,4,0,1
952,3,4,4,1,1,2,4,0,1
954,3,3,2,1,1,2,3,0,1
956,2,2,1,1,1,3,2,0,1
962,3,4,4,1,1,2,3,0,1
963,3,4,1,0,1,2,4,0,1
965,2,2,3,1,0,3,3,0,1
966,3,3,4,1,0,2,2,0,1
967,4,4,3,1,0,1,4,0,1
970,4,4,1,1,1,1,4,0,1
971,4,4,2,1,1,2,4,0,1
972,4,4,2,1,1,1,4,0,1
973,1,2,2,1,1,3,4,0,1
974,4,4,3,1,1,1,4,0,1
975,4,4,3,1,1,3,4,0,1
976,2,3,3,1,0,3,2,0,1
978,3,4,2,1,1,2,4,0,1
980,3,4,3,1,1,3,2,0,1
986,4,4,1,1,1,1,4,0,1
987,4,4,3,1,1,4,4,0,1
988,2,3,5,1,1,2,3,0,1
989,3,2,5,1,1,2,2,0,1
990,2,3,3,1,1,2,3,0,1
991,3,4,3,1,1,1,4,0,1
994,4,4,1,1,1,1,4,0,1
995,2,1,3,1,0,3,1,1,1
996,2,3,4,1,0,3,2,0,1
997,2,3,6,1,1,2,4,0,1
1002,2,4,1,1,0,1,1,0,2
1003,4,4,0,1,0,3,4,0,2
1004,2,2,2,1,1,3,3,0,2
1006,4,4,0,1,0,1,4,0,2
1007,3,4,2,1,1,3,3,0,2
1010,2,4,3,1,1,3,4,0,2
1011,2,2,1,1,1,3,2,0,2
1012,3,4,4,1,1,1,4,0,2
1014,4,4,2,1,1,3,2,0,2
1015,4,4,0,1,1,3,2,0,2
1016,3,4,0,1,1,3,3,0,2
1020,1,2,4,1,1,1,4,1,2
1022,3,4,0,1,0,1,3,0,2
1023,4,4,1,1,0,3,3,0,2
1024,4,4,1,0,0,2,4,0,2
1038,3,3,1,1,0,2,4,0,2
1039,3,4,0,1,0,2,3,0,2
1041,3,3,2,1,0,3,2,0,2
1042,2,4,0,1,0,3,4,0,2
1044,4,4,3,1,0,2,3,0,2
1046,2,3,1,1,1,3,1,0,2
1047,3,4,1,0,1,2,2,0,2
1052,4,4,0,1,0,2,4,0,2
1054,4,4,1,1,1,1,4,0,2
1057,3,4,2,1,1,1,3,0,2
1058,1,1,7,1,1,2,3,0,2
1059,4,4,1,1,1,3,4,0,2
1061,1,3,1,1,1,3,4,0,2
1062,3,3,4,1,1,2,4,0,2
1064,3,4,2,1,1,1,3,0,2
1068,4,4,4,1,1,2,4,0,2
1069,2,3,2,1,1,3,1,0,2
1072,3,4,1,1,0,3,3,0,2
1080,3,4,3,1,1,1,1,0,2
1082,4,4,1,1,0,1,4,0,2
1084,2,4,0,1,1,3,1,0,2
1085,4,2,0,1,0,3,3,0,2
1086,4,4,2,1,0,1,4,0,2
1089,1,4,0,1,0,4,1,0,2
1090,2,4,0,1,1,2,2,0,2
1091,3,4,2,1,1,3,3,0,2
1092,3,3,5,1,1,3,3,0,2
1093,3,3,1,1,1,2,2,0,2
1095,3,4,1,1,1,3,2,0,2
1096,3,4,2,1,1,2,4,0,2
1098,1,3,1,1,1,4,2,0,2
1099,3,4,4,1,1,3,1,1,2
1100,4,4,1,1,0,1,3,0,2
1101,4,4,3,1,1,1,4,0,2
1102,3,4,2,1,1,3,2,0,2
1103,3,3,1,1,0,3,4,0,2
1104,4,4,0,1,1,2,1,1,2
1108,2,3,1,1,1,2,1,0,2
1111,4,4,1,1,0,1,3,0,2
1112,3,4,1,1,1,3,3,0,2
1113,2,3,2,1,1,3,2,0,2
1114,3,4,0,1,0,3,3,0,2
1115,4,4,1,1,1,3,4,0,2
1116,4,4,1,1,1,1,3,0,2
1117,4,4,0,1,1,3,4,0,2
1118,4,4,5,1,1,1,4,0,2
1122,3,4,4,0,1,2,3,0,2
1126,4,4,2,1,1,1,2,0,2
1129,4,4,2,1,1,1,3,0,2
1133,3,4,0,1,0,3,4,0,2
1134,3,4,0,1,1,3,3,0,2
1135,2,3,1,1,0,4,4,0,2
1136,3,4,1,0,1,2,2,0,2
1140,2,4,1,1,1,3,4,0,2
1146,2,3,1,1,0,3,4,1,2
1148,3,3,1,1,0,2,4,0,2
1150,3,3,2,1,0,3,3,0,2
1151,3,4,2,1,1,3,3,0,2
1153,2,3,3,1,1,3,4,0,2
1154,3,2,1,1,0,3,3,0,2
1155,4,4,0,0,0,2,4,0,2
1156,3,4,3,0,0,2,4,0,2
1160,3,4,0,1,1,3,3,0,2
1161,4,4,4,1,1,1,4,0,2
1169,1,1,6,1,1,3,2,0,2
1173,2,4,1,1,1,3,4,0,2
1174,3,2,1,1,1,3,1,0,2
1175,2,2,1,1,1,3,1,1,2
1178,3,3,2,1,1,2,4,0,2
1179,3,2,0,1,1,2,2,0,2
1180,3,4,0,1,0,3,4,0,2
1182,3,4,1,0,1,2,3,0,2
1184,3,4,2,1,1,3,4,0,2
1185,3,2,1,1,1,3,4,0,2
1186,4,4,3,0,0,1,4,0,2
1187,2,3,0,1,1,3,4,0,2
1188,4,4,2,1,1,1,3,0,2
1190,3,4,2,1,1,2,2,0,2
1191,4,4,0,0,1,2,4,0,2
1192,2,1,0,1,1,2,2,0,2
1195,4,4,5,1,0,3,4,0,2
1196,2,2,4,1,1,3,4,0,2
1199,3,4,2,1,1,1,4,0,2
1200,1,3,1,1,1,3,1,0,2
1201,4,4,3,1,1,1,2,0,2
1207,4,4,3,1,1,1,4,0,2
1212,2,4,3,1,1,3,2,0,2
1213,4,4,0,0,0,2,4,0,2
1216,4,4,4,1,1,3,3,0,1
1219,4,4,1,1,1,1,3,0,1
1220,3,4,3,1,1,1,4,0,1
1221,4,4,1,1,1,1,3,0,1
1225,2,2,7,1,1,3,4,0,1
1227,2,4,2,1,1,1,4,0,1
1229,3,3,2,1,1,3,4,0,1
1231,4,4,3,1,1,1,3,0,1
1232,4,4,2,0,1,1,4,0,1
1233,4,4,3,1,1,2,1,0,1
1235,3,4,3,1,1,2,3,0,1
1237,4,4,3,1,1,1,4,0,1
1238,3,4,2,1,1,3,3,0,1
1241,3,1,1,1,0,3,3,0,1
1243,4,4,1,1,0,2,2,0,1
1246,4,4,1,1,1,1,4,0,1
1249,4,4,1,1,1,2,4,0,1
1250,4,4,1,1,0,3,3,0,1
1252,3,4,2,1,1,1,4,0,1
1253,4,4,1,1,0,2,3,0,1
1255,3,4,3,1,1,1,4,0,1
1258,3,4,3,1,1,1,3,0,1
1259,4,4,1,1,0,1,4,0,1
1261,4,4,1,0,1,1,4,0,1
1268,4,4,1,1,1,3,3,0,1
1272,4,4,3,1,1,3,2,0,1
1273,3,3,2,1,1,1,3,0,1
1274,3,3,2,1,1,3,3,0,1
1275,2,3,5,1,1,3,1,1,1
1277,3,4,3,1,1,1,4,0,1
1280,3,4,3,1,1,1,3,0,1
1284,4,4,2,1,1,2,4,0,1
1287,4,4,1,0,1,2,3,0,1
1288,3,4,2,0,1,2,3,0,1
1290,2,2,4,1,1,3,4,0,1
1291,4,4,1,1,1,1,4,0,1
1293,3,4,2,0,1,3,3,0,1
1294,4,4,1,1,0,3,4,0,1
1295,2,2,4,1,1,4,3,1,1
1299,4,4,2,1,1,1,3,0,1
1301,3,1,2,1,0,3,4,0,1
1322,4,4,2,1,0,3,3,0,1
1323,3,3,1,0,1,3,2,0,1
1327,2,3,7,1,1,3,3,0,1
1328,3,4,1,1,1,3,3,0,1
1331,2,2,4,1,1,3,3,0,1
1332,1,2,3,1,1,3,2,0,1
1333,2,4,3,1,1,1,3,0,1
1336,2,3,3,1,1,3,3,0,1
1337,3,4,1,1,0,3,4,0,1
1338,4,4,5,1,0,1,4,0,1
1339,4,4,2,1,1,3,3,0,1
1340,2,4,3,1,1,3,3,0,1
1347,4,4,3,1,1,3,3,0,1
1348,4,4,2,1,1,2,3,0,1
1349,1,2,3,1,1,3,2,0,1
1350,2,3,1,1,1,3,1,0,1
1351,3,2,1,1,1,3,1,1,1
1352,2,4,2,1,1,2,4,0,1
1353,4,4,1,1,0,2,4,0,1
1355,4,4,1,1,1,1,4,0,1
1356,3,4,3,0,1,3,3,0,1
1357,2,3,3,1,1,3,3,0,1
1358,4,4,2,1,1,3,3,0,1
1359,2,4,4,1,1,3,2,0,1
1360,3,4,4,1,1,3,1,0,1
1361,3,3,2,1,1,3,2,0,1
1362,1,2,1,1,1,3,3,0,1
1363,4,4,1,1,1,2,4,0,1
1364,3,3,4,1,0,3,2,0,1
1365,4,4,1,1,1,2,3,0,1
1366,4,4,2,1,1,1,2,0,1
1368,2,3,3,1,1,2,4,0,1
1369,3,3,1,1,1,3,2,0,1
1370,2,2,6,1,0,2,3,0,1
1371,3,4,3,1,1,2,4,0,1
1372,4,4,2,1,1,3,3,0,1
1375,3,3,2,1,0,2,2,0,1
1376,3,4,5,1,1,3,3,0,1
1378,4,4,1,1,0,3,2,0,1
1380,1,2,4,1,1,3,3,0,1
1383,3,4,2,1,0,2,4,0,1
1385,4,4,1,1,1,2,4,0,1
1387,3,4,2,1,0,2,4,0,1
1388,4,4,2,0,1,1,4,0,1
1392,2,2,2,1,1,3,2,0,1
1393,3,3,2,1,1,2,2,1,1
1394,3,3,1,1,1,2,2,0,1
1395,3,2,3,1,1,3,3,0,1
1397,3,3,2,1,1,3,1,0,1
1398,2,4,7,1,1,3,3,0,1
1399,3,3,1,1,1,3,1,0,1
1400,3,4,4,1,1,3,4,0,1
1401,3,4,3,1,1,3,3,0,1
1402,3,4,2,1,1,3,3,0,1
1403,4,4,3,1,1,3,2,0,1
1409,4,4,4,1,1,3,4,0,1
1410,4,4,2,1,1,3,3,0,1
1411,4,4,2,1,1,2,3,0,1
1412,3,4,3,1,1,3,4,0,1
